,Product_Title,Original Price,Discounted Price,Additional_Tags,Ratings,Gender,Category,Formulation
54,Wellman 50+ UK's No.1 Multivitamin for Men above 50 (Ginseng...,450,315,Rising Products,5,Male,Energy-boosters,Tablet
55,GNC Women's Multivitamin 50 Plus - For Overall Health - 120 ...,2399,1399,Rising Products,5,Female,Energy-boosters,Others
56,Chicnutrix Beautymins Multivitamin Tablets - Peach Ice Tea F...,450,319,Rising Products,1,Unisex,Energy-boosters,Tablet
58,Nudge Melatonin Sleep Gummies - Strawberry Flavour,499,379,Rising Products,5,Unisex,Energy-boosters,Capsule
59,Swisse Ultivite Essential Multivitamin To Relieve Fatigue & ...,1099,747,Rising Products,5,Unisex,Energy-boosters,Tablet
60,Neuherbs True Vitamin Women Tablets,399,299,Rising Products,5,Unisex,Energy-boosters,Others
62,Fast&Up Vitalize Multivitamin Natural Beetroot Supplements -...,699,569,Rising Products,5,Unisex,Energy-boosters,Capsule
63,"Mars by GHC Multivitamin Gummies With Biotin, Zinc And Folic...",599,299,Rising Products,5,Unisex,Energy-boosters,Capsule
64,SheNeed PCOS Vitamin for Women,499,349,Rising Products,5,Others,Energy-boosters,Capsule
65,Fast&Up Vitalize Multivitamin Supplements - Orange (Tube Of ...,249,219,Rising Products,5,Unisex,Energy-boosters,Capsule
66,"Auric Liver Detox Effervescent with 10 Ayurvedic Herbs, Clin...",500,295,Rising Products,5,Unisex,Energy-boosters,Tablet
67,FAMMEDI Biotin Gummies- Strawberry Flavour,650,650,Rising Products,5,Unisex,Energy-boosters,Capsule
68,"HealthKart Hk Vitals Advanced Multivitamin With Bcaa, Minera...",799,599,Rising Products,4,Unisex,Energy-boosters,Capsule
69,Nutribears Multivitamin And Calcium Gummies For Kids And Tee...,940,696,Rising Products,4,Unisex,Energy-boosters,Capsule
70,Zingavita Women's Multivitamin Gummies with Biotin,599,269,Rising Products,4,Female,Energy-boosters,Others
71,MuscleXP Women Daily Vital Fitness Multivitamin & Multiminer...,1125,199,Rising Products,5,Unisex,Energy-boosters,Tablet
73,Wellwoman 70+ Health Supplements UK's No.1 Vitamin for Women...,513,359,Rising Products,5,Female,Energy-boosters,Tablet
74,HealthKart Hk Vitals Omega 3 Supplement And Multivitamin Com...,1088,699,Rising Products,4,Unisex,Energy-boosters,Capsule
75,Health Veda Organics Plant Based Glucosamine Chondroitin & M...,999,460,Rising Products,5,Unisex,Energy-boosters,Capsule
77,Be Bodywise Multivitamin Gummies For Women - Pack Of 2,1598,1209,Rising Products,4,Unisex,Energy-boosters,Others
78,GNC Mega Men Sport Multivitamin For Men,1399,799,Rising Products,5,Unisex,Energy-boosters,Tablet
79,HealthKart Hk Vitals Fish Oil With Omega 3 And Multivitamin ...,998,725,Rising Products,5,Female,Energy-boosters,Capsule
80,HealthKart HK Vitals Multivitamin with Omega 3 Fish Oil Supp...,1428,999,Rising Products,5,Unisex,Energy-boosters,Capsule
